uniqueId,name,yearReleased,genre,publisher,developer,rating,naSales,euSales,jpSales,otherSales,globalSales,criticScore,criticCount,userScore,userCount
101,AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,KCE Studios,E,0.14,0.04,0.0,0.01,0.18,61,21,7.1,7
102,AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,KCE Studios,T,0.05,0.04,0.0,0.01,0.11,66,22,7.0,6
103,Airline Tycoon 2,2011,Simulation,Kalypso Media,Kalypso,E,0.0,0.04,0.0,0.01,0.05,57,4,5.5,30
104,Alan Wake,2010,Action,Microsoft Game Studios,Remedy Entertainment,T,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1156
105,Alan Wake,2012,Action,Nordic Games,Remedy Entertainment,T,0.0,0.06,0.0,0.01,0.06,83,30,8.0,1473
106,Alias,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T,0.05,0.04,0.0,0.01,0.11,64,31,8.0,10
107,Alias,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T,0.04,0.01,0.0,0.0,0.05,64,37,6.0,4
108,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M,0.22,0.24,0.04,0.08,0.58,70,51,7.9,181
109,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M,0.27,0.14,0.04,0.04,0.5,70,67,8.1,157
110,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M,0.0,0.1,0.0,0.02,0.12,75,29,8.4,559
111,Alice in Wonderland,2010,Adventure,Disney Interactive Studios,Etranges Libellules,E10+,0.25,0.21,0.0,0.05,0.51,69,18,7.4,13
112,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795
113,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M,0.22,0.24,0.0,0.04,0.51,78,24,7.8,314
114,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M,0.0,0.14,0.0,0.01,0.14,81,41,8.4,1588
115,Alien Hominid,2004,Shooter,Zoo Digital Publishing,The Behemoth,T,0.05,0.04,0.0,0.01,0.1,78,47,8.3,13
116,Alien Hominid,2004,Shooter,O3 Entertainment,The Behemoth,T,0.07,0.02,0.0,0.0,0.09,78,28,8.5,15
117,Alien Resurrection,2000,Shooter,Fox Interactive,Argonaut Games,M,0.09,0.06,0.0,0.01,0.16,61,12,7.5,15
118,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M,0.36,0.34,0.0,0.07,0.77,48,47,3.8,449
119,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M,0.2,0.29,0.0,0.11,0.6,43,25,3.6,295
120,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M,0.1,0.06,0.0,0.02,0.18,45,40,3.5,1156
121,Aliens: Infestation,2011,Action,Sega,"Gearbox Software, WayForward",T,0.09,0.05,0.0,0.02,0.16,76,43,8.2,29
122,Aliens in the Attic,2009,Action,Playlogic Game Factory,Engine Software,E10+,0.05,0.0,0.0,0.0,0.05,58,7,6.0,5
123,Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,Zono Inc.,T,0.09,0.07,0.0,0.02,0.19,66,17,8.4,30
124,Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,Zono Inc.,T,0.06,0.02,0.0,0.0,0.08,64,19,7.7,21
125,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M,0.55,0.4,0.0,0.11,1.06,64,64,7.3,247
126,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M,0.41,0.46,0.0,0.18,1.04,65,57,7.3,168
127,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M,0.0,0.17,0.0,0.02,0.19,68,35,7.4,985
128,Aliens vs Predator: Requiem,2007,Action,Vivendi Games,Rebellion,T,0.03,0.12,0.0,0.07,0.22,49,34,5.6,19
129,Alien Syndrome,2007,Role-Playing,Sega,Totally Games,T,0.07,0.0,0.0,0.01,0.08,51,20,6.0,9
130,Alien Syndrome,2007,Role-Playing,Sega,Totally Games,T,0.05,0.0,0.0,0.0,0.06,48,24,7.1,23
131,All-Pro Football 2K8,2007,Sports,Take-Two Interactive,Visual Concepts,E10+,0.24,0.0,0.0,0.02,0.26,75,22,6.8,52
132,All-Pro Football 2K8,2007,Sports,Take-Two Interactive,Visual Concepts,E10+,0.14,0.0,0.0,0.01,0.15,73,23,7.3,21
133,All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,Acclaim Studios Austin,E,0.27,0.21,0.0,0.07,0.56,77,16,7.6,8
134,All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,Acclaim,E,0.17,0.04,0.0,0.01,0.22,66,17,5.6,9
135,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim Studios Austin,E,0.38,0.29,0.0,0.1,0.77,81,15,8.4,17
136,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim,E,0.19,0.06,0.0,0.01,0.26,79,15,8.1,7
137,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim,E,0.12,0.03,0.0,0.0,0.15,83,16,8.0,6
138,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim Studios Austin,E,0.21,0.16,0.0,0.05,0.42,78,19,7.5,11
139,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim,E,0.1,0.03,0.0,0.0,0.13,74,20,8.4,7
140,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim,E,0.06,0.02,0.0,0.0,0.08,80,14,9.2,5
141,Alone in the Dark,2008,Adventure,Atari,Eden Studios,M,0.14,0.3,0.0,0.05,0.48,58,53,5.7,162
142,Alone in the Dark,2008,Adventure,Atari,Hydravision,M,0.09,0.08,0.0,0.02,0.18,39,10,4.4,34
143,Alone in the Dark,2008,Adventure,Atari,Hydravision,M,0.03,0.02,0.0,0.01,0.06,47,10,5.4,24
144,Alone in the Dark,2008,Adventure,Atari,Eden Studios,M,0.0,0.01,0.0,0.0,0.01,55,19,5.7,148
145,Alone in the Dark: Inferno,2008,Adventure,Atari,Eden Studios,M,0.09,0.03,0.0,0.02,0.13,69,25,5.6,50
146,Alpha Protocol,2010,Role-Playing,Sega,Obsidian Entertainment,M,0.19,0.17,0.0,0.07,0.43,64,49,6.9,117
147,Alpha Protocol,2010,Role-Playing,Sega,Obsidian Entertainment,M,0.23,0.12,0.0,0.04,0.39,63,68,7.2,201
148,Alpha Protocol,2010,Role-Playing,Sega,Obsidian Entertainment,M,0.0,0.03,0.0,0.01,0.03,72,25,7.5,511
149,Alter Echo,2003,Shooter,THQ,Outrage Games,T,0.06,0.05,0.0,0.02,0.13,62,26,7.0,9
150,Altered Beast: Guardian of the Realms,2002,Action,THQ,3d6 Games,T,0.07,0.02,0.0,0.0,0.09,63,13,4.8,4
151,Alter Ego,1985,Simulation,Activision,"Viva Media, Viva Media, LLC",T,0.0,0.03,0.0,0.01,0.03,59,9,5.8,19
152,Alundra,1997,Role-Playing,Psygnosis,Matrix Software,T,0.13,0.09,0.0,0.01,0.23,86,9,9.0,41
153,Alvin and the Chipmunks,2007,Misc,Brash Entertainment,Sensory Sweep,E,0.04,0.03,0.0,0.01,0.07,33,5,4.5,6
154,Alvin and the Chipmunks,2007,Misc,Eidos Interactive,Sensory Sweep,E,0.05,0.0,0.0,0.0,0.05,30,4,3.6,20
155,Amazing Island,2004,Strategy,Sega,Hitmaker,E,0.04,0.01,0.0,0.0,0.06,59,22,6.6,7
156,America's Army: Rise of a Soldier,2005,Shooter,Ubisoft,Secret Level,T,0.19,0.05,0.0,0.01,0.25,70,19,7.4,21
157,America's Army: True Soldiers,2007,Shooter,Ubisoft,Red Storm Entertainment,T,0.08,0.0,0.0,0.01,0.08,43,11,6.7,55
158,America's Test Kitchen: Let's Get Cooking,2010,Simulation,Nintendo,Indies Zero,E,0.25,0.0,0.0,0.02,0.26,87,4,5.6,9
159,American Chopper,2004,Racing,Zoo Digital Publishing,Creat Studios,T,0.35,0.01,0.0,0.06,0.42,47,4,7.5,13
160,American Chopper,2004,Racing,Zoo Digital Publishing,Creat Studios,T,0.11,0.03,0.0,0.01,0.15,44,6,5.9,9
161,American Idol,2003,Misc,Codemasters,Hothouse Creations,E,0.27,0.21,0.0,0.07,0.55,41,14,4.8,12
162,AMF Bowling 2004,2003,Sports,Mud Duck Productions,,,0.22,0.06,0.0,0.01,0.3,48,6,4.4,8
163,AMF Xtreme Bowling,2006,Sports,Mastertronic,"Atomic Planet Entertainment, Mud Duck Productions",E,0.01,0.01,0.0,0.0,0.02,30,4,4.2,5
164,Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios,Indie Built,E,0.69,0.11,0.0,0.02,0.82,78,30,9.0,20
165,Amped 2,2003,Sports,Microsoft Game Studios,Indie Built,E,0.2,0.04,0.0,0.01,0.25,80,34,7.7,20
166,Amped 3,2005,Sports,Take-Two Interactive,2K Sports,T,0.13,0.02,0.0,0.01,0.16,72,49,7.1,36
167,Amplitude,2003,Misc,Sony Computer Entertainment,Harmonix Music Systems,T,0.09,0.07,0.0,0.02,0.18,86,35,8.8,26
168,Anarchy Reigns,2012,Action,Sega,PlatinumGames,M,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106
169,Anarchy Reigns,2012,Action,Sega,PlatinumGames,M,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105
170,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E,0.1,0.14,0.0,0.05,0.29,49,6,3.6,23
171,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E,0.16,0.1,0.0,0.02,0.28,59,3,5.6,25
172,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E,0.1,0.08,0.0,0.04,0.21,47,5,2.0,87
173,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E,0.11,0.04,0.0,0.02,0.16,53,4,6.9,63
174,Angry Birds Trilogy,2012,Action,Activision,Exient Entertainment,E,0.38,0.2,0.0,0.05,0.63,62,7,4.6,20
175,Angry Birds Trilogy,2012,Action,Activision,"Rovio Mobile, Rovio Entertainment",E,0.18,0.05,0.0,0.02,0.26,63,13,3.5,27
176,Angry Birds Trilogy,2012,Action,Activision,"Rovio Mobile, Rovio Entertainment",E,0.12,0.02,0.0,0.03,0.16,66,8,3.7,20
177,Anima - Gate of Memories,2016,Action,Avanquest,"Edge Entertainment, Anima Project",T,0.0,0.02,0.0,0.0,0.02,52,13,7.9,34
178,Animal Crossing,2001,Simulation,Nintendo,Nintendo,E,1.92,0.16,0.99,0.09,3.15,87,42,8.9,137
179,Animal Crossing: Amiibo Festival,2015,Misc,Nintendo,"Nintendo, Nd Cube",E,0.19,0.11,0.09,0.03,0.41,46,20,4.4,173
180,Animal Crossing: City Folk,2008,Simulation,Nintendo,Nintendo,E,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119
181,Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,Nintendo,E,0.51,1.02,1.4,0.12,3.05,66,60,6.9,106
182,Animal Crossing: New Leaf,2012,Simulation,Nintendo,Nintendo,E,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626
183,Animal Crossing: Wild World,2005,Simulation,Nintendo,Nintendo,E,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242
184,AniMates!,2007,Simulation,Lexicon Entertainment,Dreamcatcher,E,0.02,0.0,0.0,0.0,0.03,33,4,2.5,4
185,Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,Sunflowers Interactive,E,0.07,0.05,0.0,0.01,0.13,78,14,7.5,19
186,Anno 2070,2011,Strategy,Ubisoft,"Blue Byte, Related Designs",T,0.0,1.13,0.0,0.29,1.43,83,33,7.0,493
187,Anno 2205,2015,Strategy,Ubisoft,Blue Byte,E10+,0.02,0.22,0.0,0.02,0.25,72,45,5.9,278
188,Antz Extreme Racing,2002,Racing,Empire Interactive,Empire Interactive,E,0.02,0.02,0.0,0.01,0.04,31,5,5.0,8
189,Antz Extreme Racing,2002,Racing,Empire Interactive,Supersonic Software,E,0.01,0.0,0.0,0.0,0.02,35,4,8.7,10
190,Anubis II,2007,Platform,Metro 3D,Data Design Interactive,E,0.06,0.0,0.0,0.0,0.07,19,5,2.7,28
191,Apache: Air Assault,2010,Simulation,Activision,Gaijin Entertainment,T,0.11,0.06,0.0,0.03,0.2,66,17,6.1,12
192,Apache: Air Assault,2010,Simulation,Activision,Gaijin Entertainment,T,0.12,0.03,0.0,0.01,0.16,70,26,6.4,31
193,Apache: Air Assault,2010,Simulation,Just Flight,Gaijin Entertainment,T,0.0,0.03,0.0,0.0,0.03,64,7,7.5,18
194,APB Reloaded,2011,Role-Playing,Iceberg Interactive,"Reloaded Productions, Reloaded Games Inc.",M,0.02,0.01,0.0,0.0,0.04,56,12,5.7,269
195,Ape Escape,1999,Platform,Sony Computer Entertainment,SCEI,E,0.71,0.48,0.32,0.11,1.63,90,19,8.8,53
196,Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,"SCEA, Sims",E,0.52,0.0,0.12,0.05,0.7,66,35,6.4,16
197,Ape Escape 2,2002,Platform,Sony Computer Entertainment,SCE Japan Studio,E,0.12,0.09,0.38,0.03,0.63,82,31,8.4,32
198,Ape Escape 3,2005,Platform,Sony Computer Entertainment,SCE Japan Studio,E10+,0.06,0.05,0.0,0.02,0.13,77,51,8.5,22
