uniqueid,name,yearreleased,genre,publisher,developer,rating
252,Art Academy,2010,Misc,Nintendo,Headstrong Games,E
253,Art Academy: Home Studio,2015,Misc,Nintendo,Headstrong Games,E
254,Art Academy: Lessons for Everyone,2012,Action,Nintendo,"Nintendo, Headstrong Games",E
255,Art of Fighting Anthology,2006,Fighting,Crave Entertainment,SNK Playmore,T
256,Ar tonelico: Melody of Elemia,2006,Role-Playing,505 Games,Gust,T
257,Ar tonelico Qoga: Knell of Ar Ciel,2010,Role-Playing,Tecmo Koei,Gust,M
258,Arx Fatalis,2003,Role-Playing,Mindscape,Arkane Studios,M
259,Asphalt: Injection,2011,Action,Ubisoft,Ubisoft,E10+
260,Asphalt: Urban GT,2004,Racing,Ubisoft,Gameloft,E
261,Asphalt 3D,2011,Racing,Ubisoft,Gameloft,E10+
262,Assassin's Creed,2007,Adventure,Ubisoft,Ubisoft Montreal,M
263,Assassin's Creed,2007,Adventure,Ubisoft,Ubisoft Montreal,M
264,Assassin's Creed: Altair's Chronicles,2008,Platform,Ubisoft,Gameloft,T
265,Assassin's Creed: Bloodlines,2009,Action,Ubisoft,Griptonite Games,M
266,Assassin's Creed: Brotherhood,2010,Action,Ubisoft,Ubisoft Montreal,M
267,Assassin's Creed: Brotherhood,2010,Action,Ubisoft,Ubisoft Montreal,M
268,Assassin's Creed: Brotherhood,2011,Action,Ubisoft,Ubisoft Montreal,M
269,Assassin's Creed: Revelations,2011,Action,Ubisoft,Ubisoft Montreal,M
270,Assassin's Creed: Revelations,2011,Action,Ubisoft,Ubisoft Montreal,M
271,Assassin's Creed: Revelations,2011,Action,Ubisoft,Ubisoft Montreal,M
272,Assassin's Creed: Rogue,2014,Action,Ubisoft,Ubisoft Sofia,M
273,Assassin's Creed: Rogue,2014,Action,Ubisoft,Ubisoft,M
274,Assassin's Creed: Rogue,2015,Action,Ubisoft,Ubisoft,M
275,Assassin's Creed: Unity,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
276,Assassin's Creed: Unity,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
277,Assassin's Creed: Unity,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
278,Assassin's Creed Chronicles,2016,Action,Ubisoft,Climax Studios,T
279,Assassin's Creed Chronicles: China,2015,Action,Ubisoft,"Climax Group, Climax Studios",T
280,Assassin's Creed II,2009,Action,Ubisoft,Ubisoft Montreal,M
281,Assassin's Creed II,2009,Action,Ubisoft,Ubisoft Montreal,M
282,Assassin's Creed II,2010,Action,Ubisoft,Ubisoft Montreal,M
283,Assassin's Creed II: Discovery,2009,Action,Ubisoft,Griptonite Games,T
284,Assassin's Creed III,2012,Action,Ubisoft,Ubisoft,M
285,Assassin's Creed III,2012,Action,Ubisoft,Ubisoft,M
286,Assassin's Creed III,2012,Action,Ubisoft,Ubisoft,M
287,Assassin's Creed III,2012,Action,Ubisoft,Ubisoft Quebec,M
288,Assassin's Creed III: Liberation,2012,Action,Ubisoft,Ubisoft,M
289,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,Ubisoft,M
290,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,Ubisoft,M
291,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,Ubisoft,M
292,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,Ubisoft,M
293,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,Ubisoft,M
294,Assassin's Creed Syndicate,2015,Action,Ubisoft,Ubisoft Quebec,M
295,Assassin's Creed Syndicate,2015,Action,Ubisoft,Ubisoft Quebec,M
296,Assassin's Creed Syndicate,2015,Action,Ubisoft,Ubisoft Quebec,M
297,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,Ubisoft Montreal,M
298,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,Ubisoft Montreal,M
299,Assetto Corsa,2016,Racing,505 Games,Kunos Simulazioni,E
300,Assetto Corsa,2016,Racing,505 Games,Kunos Simulazioni,E
301,Astonishia Story,2006,Role-Playing,Ubisoft,Sonnori,E10+
302,Astro Boy,2004,Action,Sega,Sonic Team,E
303,Astro Boy: Omega Factor,2003,Action,THQ,Hitmaker,E
304,Astro Boy: The Video Game,2009,Action,D3Publisher,High Voltage Software,E10+
305,Astro Boy: The Video Game,2009,Action,D3Publisher,High Voltage Software,E10+
306,Asura's Wrath,2012,Action,Capcom,CyberConnect2,T
307,Asura's Wrath,2012,Action,Capcom,CyberConnect2,T
308,Atari Anthology,2004,Misc,Atari,Digital Eclipse,E
309,Atari Classics Evolved,2007,Misc,Atari,Stainless Games,E
310,Atelier Annie: Alchemists of Sera Island,2009,Role-Playing,Gust,Gust,E10+
311,Atelier Ayesha: The Alchemist of Dusk,2012,Role-Playing,Tecmo Koei,Gust,T
312,Atelier Iris: Eternal Mana,2004,Role-Playing,Tecmo Koei,Gust,T
313,Atelier Iris 2: The Azoth Of Destiny,2005,Role-Playing,Tecmo Koei,Gust,E10+
314,Atelier Shallie: Alchemists of the Dusk Sea,2014,Role-Playing,Tecmo Koei,Gust,E10+
315,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,Gust,
316,Atelier Totori: The Adventurer of Arland,2010,Role-Playing,Nippon Ichi Software,Gust,T
317,Athens 2004,2004,Sports,Sony Computer Entertainment,Eurocom Entertainment Software,E
318,Atomic Betty,2005,Puzzle,Atari,"Big Blue Bubble Inc., Breakthrough New Media",E
319,Attack of the Movies 3D,2010,Shooter,Majesco Entertainment,Panic Button,T
320,Attack on Titan: Humanity in Chains,2013,Action,Screenlife,Spike Chunsoft,M
321,ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,Rainbow Studios,E
322,ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,Climax Group,E
323,ATV Offroad Fury 2,2002,Racing,THQ,Rainbow Studios,E
324,ATV Offroad Fury 3,2004,Racing,SouthPeak Games,Climax Group,E
325,ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,Climax Group,E
326,Auto Modellista,2002,Racing,Capcom,Capcom,E
327,Avalon Code,2008,Role-Playing,Rising Star Games,"Matrix Software, Marvelous Entertainment",E10+
328,A Vampyre Story,2008,Adventure,Crimson Cow,Autumn Moon,T
329,Avatar: The Last Airbender,2006,Adventure,THQ,AWE Games,E10+
330,Avatar: The Last Airbender,2006,Adventure,THQ,TOSE,E
331,Avatar: The Last Airbender,2006,Adventure,THQ,AWE Games,E10+
332,Avatar: The Last Airbender,2006,Adventure,THQ,TOSE,E10+
333,A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,"Nippon Ichi Software, Hit Maker",E10+
334,Azure Striker Gunvolt,2016,Action,Yacht Club Games,Inti Creates,E10+
335,Azurik: Rise of Perathia,2001,Action,Microsoft Game Studios,Adrenium,T
336,Back to the Future: The Game,2011,Adventure,Telltale Games,Telltale Games,
337,Back to the Future: The Game,2011,Adventure,Telltale Games,Iron Galaxy Studios,T
338,Backyard Baseball,2003,Sports,Infogrames,Humongous Entertainment,E
339,Backyard Baseball '09,2008,Sports,Atari,Humongous Entertainment,E
340,Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,Paradox Development,M
341,Backyard Wrestling: Don't Try This at Home,2003,Fighting,Eidos Interactive,Paradox Development,M
342,Backyard Wrestling 2: There Goes the Neighborhood,2004,Fighting,Eidos Interactive,Paradox Development,M
343,Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,Blitz Games,M
344,Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,Blitz Games,M
345,Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,Blitz Games,M
346,Baja: Edge of Control,2008,Racing,THQ,2XL Games,E
347,Baja: Edge of Control,2008,Racing,THQ,2XL Games,E
348,Bakugan: Battle Brawlers,2009,Action,Activision,Now Production,E
349,Bakugan: Battle Brawlers,2009,Action,Activision,Now Production,E
350,Bakugan: Battle Brawlers,2009,Action,Activision,Now Production,E
351,Bakugan: Battle Brawlers,2009,Action,Activision,Now Production,E
352,Baldur's Gate: Dark Alliance,2001,Role-Playing,Virgin Interactive,Snowblind Studios,T
353,Baldur's Gate: Dark Alliance,2002,Role-Playing,Virgin Interactive,Snowblind Studios,T
