uniqueId,name,criticScore,criticCount,userScore,userCount
5980,The Sims 2: Castaway,64,5,7.3,18
5981,The Sims 2: Castaway,66,8,4.0,5
5982,The Sims 2: Castaway,71,17,8.0,15
5983,The Sims 2: Nightlife,76,31,6.6,71
5984,The Sims 2: Open for Business,78,29,8.6,35
5985,The Sims 2: Pets,49,5,5.2,24
5986,The Sims 2: Pets,57,9,7.3,10
5987,The Sims 2: Pets,68,27,8.0,25
5988,The Sims 2: Pets,66,15,7.3,8
5989,The Sims 2: Pets,76,23,7.7,40
5990,The Sims 2: Pets,65,15,7.3,4
5991,The Sims 2: Seasons,78,20,7.3,29
5992,The Sims 2: University,81,31,7.8,49
5993,The Sims 3,86,75,7.6,886
5994,The Sims 3,76,42,7.1,71
5995,The Sims 3,78,39,6.4,55
5996,The Sims 3,73,9,6.4,20
5997,The Sims 3,52,29,3.3,31
5998,The Sims 3: Ambitions,74,25,7.3,51
5999,The Sims 3: Generations,70,22,3.6,81
6000,The Sims 3: Late Night Expansion Pack,74,17,5.3,77
6001,The Sims 3: Seasons,73,12,7.5,48
6002,The Sims 3: World Adventures,81,31,8.0,72
6003,The Sims 4,70,74,3.9,2057
6004,The Sims 4: City Living,77,10,5.7,30
6005,The Sims 4: Get Together,72,16,7.3,117
6006,The Sims Deluxe,92,6,8.2,77
6007,The Sky Crawlers: Innocent Aces,74,42,7.9,13
6008,The Sly Collection,85,46,8.8,172
6009,The Smurfs 2,42,5,5.6,21
6010,The SpongeBob SquarePants Movie,75,5,9.0,54
6011,The SpongeBob SquarePants Movie,73,9,7.8,13
6012,The SpongeBob SquarePants Movie,74,14,8.5,8
6013,The Suffering,77,47,8.9,40
6014,The Suffering,77,44,8.8,23
6015,The Suffering: Ties That Bind,75,37,8.0,23
6016,The Suffering: Ties That Bind,76,36,9.1,8
6017,The Sum of All Fears,36,11,3.4,5
6018,The Talos Principle,88,31,8.4,124
6019,The Technomancer,60,38,6.7,116
6020,The Technomancer,68,12,7.4,55
6021,The Technomancer,56,34,6.8,149
6022,The Terminator: Dawn of Fate,58,17,5.7,18
6023,The Terminator: Dawn of Fate,53,19,5.2,5
6024,The Testament of Sherlock Holmes,65,16,7.4,34
6025,The Testament of Sherlock Holmes,73,18,8.0,128
6026,The Testament of Sherlock Holmes,64,24,7.6,30
6027,The Thing,78,27,7.4,41
6028,The Thing,78,21,6.6,14
6029,The Tomb Raider Trilogy,78,37,8.1,60
6030,The Typing of the Dead,83,12,7.8,12
6031,The Urbz: Sims in the City,70,25,8.2,24
6032,The Urbz: Sims in the City,72,6,9.2,25
6033,The Urbz: Sims in the City,73,19,8.4,16
6034,The Urbz: Sims in the City,70,28,6.5,10
6035,The Void,77,12,8.3,97
6036,The Walking Dead: Survival Instinct,32,30,4.0,410
6037,The Walking Dead: Survival Instinct,34,14,3.6,196
6038,The Warriors,84,52,8.5,72
6039,The Warriors,85,55,8.2,21
6040,The Warriors,81,36,7.8,21
6041,The Weakest Link,63,7,7.2,6
6042,The Whispered World,70,41,7.6,77
6043,The Witch and the Hundred Knight,53,44,7.5,80
6044,The Witcher,81,50,8.8,1116
6045,The Witcher: Enhanced Edition,86,30,8.5,1660
6046,The Witcher 2: Assassins of Kings,88,76,8.5,4378
6047,The Witcher 2: Assassins of Kings,88,82,8.3,818
6048,The Witcher 3: Wild Hunt,92,79,9.2,10179
6049,The Witcher 3: Wild Hunt,91,13,9.2,3963
6050,The Witcher 3: Wild Hunt,93,32,9.3,10665
6051,The Wizard of Oz: Beyond The Yellow Brick Road,68,18,6.0,4
6052,The Wolf Among Us,83,5,7.7,88
6053,The Wolf Among Us,83,6,8.4,259
6054,The Wonderful 101,78,75,8.5,495
6055,The World Ends With You,88,59,8.9,283
6056,The X Files: Resist or Serve,67,31,8.4,8
6057,Thief: Deadly Shadows,82,61,7.3,12
6058,Thor: God of Thunder,56,14,8.0,9
6059,Thor: God of Thunder,38,40,5.7,22
6060,Thor: God of Thunder,39,35,4.4,19
6061,Thor: God of Thunder,64,18,7.2,9
6062,Thor: God of Thunder,55,10,4.2,5
6063,Thrillville,69,32,2.9,52
6064,Thrillville,72,13,2.8,39
6065,Thrillville: Off the Rails,70,14,2.8,40
6066,Thrillville: Off the Rails,70,11,1.7,30
6067,Thrillville: Off the Rails,73,24,2.8,34
6068,Thrillville: Off the Rails,72,7,0.6,24
6069,Thrillville: Off the Rails,59,6,6.2,5
6070,Thunderstrike: Operation Phoenix,65,15,8.1,7
6071,Tiger Woods PGA Tour,64,21,7.4,7
6072,Tiger Woods PGA Tour,78,25,7.4,14
6073,Tiger Woods PGA Tour 06,83,29,6.2,16
6074,Tiger Woods PGA Tour 06,81,30,5.1,11
6075,Tiger Woods PGA Tour 06,71,36,7.4,8
6076,Tiger Woods PGA Tour 06,80,15,7.9,8
6077,Tiger Woods PGA Tour 06,82,19,4.8,4
6078,Tiger Woods PGA Tour 07,79,33,6.0,8
6079,Tiger Woods PGA Tour 07,80,44,7.9,21
6080,Tiger Woods PGA Tour 07,81,21,6.8,6
6081,Tiger Woods PGA Tour 08,72,24,7.0,22
6082,Tiger Woods PGA Tour 08,79,30,6.6,7
6083,Tiger Woods PGA Tour 08,80,45,7.8,26
6084,Tiger Woods PGA Tour 08,81,10,7.6,8
6085,Tiger Woods PGA Tour 09,82,34,7.2,9
6086,Tiger Woods PGA Tour 09,84,41,7.8,29
6087,Tiger Woods PGA Tour 09,53,4,5.5,6
6088,Tiger Woods PGA Tour 09 All-Play,81,18,8.7,34
6089,Tiger Woods PGA Tour 10,88,44,8.8,57
6090,Tiger Woods PGA Tour 10,81,38,7.7,9
6091,Tiger Woods PGA Tour 10,80,51,6.9,20
6092,Tiger Woods PGA Tour 11,78,40,6.7,17
6093,Tiger Woods PGA Tour 11,84,29,8.3,23
6094,Tiger Woods PGA Tour 11,79,51,7.8,19
6095,Tiger Woods PGA Tour 12: The Masters,80,41,7.3,17
6096,Tiger Woods PGA Tour 12: The Masters,80,50,6.1,25
6097,Tiger Woods PGA Tour 12: The Masters,85,14,6.7,7
6098,Tiger Woods PGA Tour 13,75,14,5.7,9
6099,Tiger Woods PGA Tour 13,77,47,5.6,39
6100,Tiger Woods PGA Tour 14,74,28,3.8,26
6101,Tiger Woods PGA Tour 14,77,28,6.2,26
6102,Tiger Woods PGA Tour 2002,80,23,7.6,5
6103,Tiger Woods PGA Tour 2003,88,18,8.9,18
6104,Tiger Woods PGA Tour 2003,88,14,8.5,11
6105,Tiger Woods PGA Tour 2003,90,10,8.0,5
6106,Tiger Woods PGA Tour 2004,89,23,8.8,40
6107,Tiger Woods PGA Tour 2004,89,18,8.2,14
